,loading,Input,Match type,Approved symbol,Approved name,HGNC ID,Location
WISP1,-0.020625815,WISP1,Previous symbol,CCN4,cellular communication network factor 4,HGNC:12769,8q24.22
TMEM9B,0.020617613,TMEM9B,Approved symbol,TMEM9B,TMEM9 domain family member B,HGNC:1168,11p15.4
S1PR1,-0.020606311,S1PR1,Approved symbol,S1PR1,sphingosine-1-phosphate receptor 1,HGNC:3165,1p21.2
ICOS,-0.020605681,ICOS,Approved symbol,ICOS,inducible T cell costimulator,HGNC:5351,2q33.2
CPT2,0.020602423,CPT2,Approved symbol,CPT2,carnitine palmitoyltransferase 2,HGNC:2330,1p32.3
ROBO1,-0.020602185,ROBO1,Approved symbol,ROBO1,roundabout guidance receptor 1,HGNC:10249,3p12.3
FAM110C,0.020580205,FAM110C,Approved symbol,FAM110C,family with sequence similarity 110 member C,HGNC:33340,2p25.3
MX2,-0.020574044,MX2,Approved symbol,MX2,MX dynamin like GTPase 2,HGNC:7533,21q22.3
KLHL5,-0.020569423,KLHL5,Approved symbol,KLHL5,kelch like family member 5,HGNC:6356,4p14
NKX3-1,-0.020568553,NKX3-1,Approved symbol,NKX3-1,NK3 homeobox 1,HGNC:7838,8p21.2
PTGIR,-0.020563149,PTGIR,Approved symbol,PTGIR,prostaglandin I2 receptor,HGNC:9602,19q13.32
FAM219A,-0.020562934,FAM219A,Approved symbol,FAM219A,family with sequence similarity 219 member A,HGNC:19920,9p13.3
CXCL17,-0.020551028,CXCL17,Approved symbol,CXCL17,C-X-C motif chemokine ligand 17,HGNC:19232,19q13.2
HNRNPA1P21,-0.020544197,HNRNPA1P21,Approved symbol,HNRNPA1P21,heterogeneous nuclear ribonucleoprotein A1 pseudogene 21,HGNC:39539,3p22.1
CHST2,-0.02052772,CHST2,Approved symbol,CHST2,carbohydrate sulfotransferase 2,HGNC:1970,3q24
KSR1,-0.020521573,KSR1,Approved symbol,KSR1,kinase suppressor of ras 1,HGNC:6465,17q11.2
CAMK2N1,0.020515376,CAMK2N1,Approved symbol,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,HGNC:24190,1p36.12
SELENBP1,0.020504755,SELENBP1,Approved symbol,SELENBP1,selenium binding protein 1,HGNC:10719,1q21.3
SH2D2A,-0.020493422,SH2D2A,Approved symbol,SH2D2A,SH2 domain containing 2A,HGNC:10821,1q23.1
SELP,-0.020492241,SELP,Approved symbol,SELP,selectin P,HGNC:10721,1q24.2
FMO3,-0.020491405,FMO3,Approved symbol,FMO3,flavin containing dimethylaniline monoxygenase 3,HGNC:3771,1q24.3
CBFB,-0.020458378,CBFB,Approved symbol,CBFB,core-binding factor subunit beta,HGNC:1539,16q22.1
LAIR2,-0.020455985,LAIR2,Approved symbol,LAIR2,leukocyte associated immunoglobulin like receptor 2,HGNC:6478,19q13.42
TRAF1,-0.020445682,TRAF1,Approved symbol,TRAF1,TNF receptor associated factor 1,HGNC:12031,9q33.2
CD40,-0.02044485,CD40,Approved symbol,CD40,CD40 molecule,HGNC:11919,20q13.12
LINC00940,0.020435817,LINC00940,Approved symbol,LINC00940,long intergenic non-protein coding RNA 940,HGNC:48634,12p13.33
ZDHHC7,0.020431624,ZDHHC7,Approved symbol,ZDHHC7,zinc finger DHHC-type palmitoyltransferase 7,HGNC:18459,16q24.1
CDX1,0.02041623,CDX1,Approved symbol,CDX1,caudal type homeobox 1,HGNC:1805,5q32
CACNA2D2,0.020394995,CACNA2D2,Approved symbol,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2,HGNC:1400,3p21.31
DGUOK-AS1,0.02036657,DGUOK-AS1,Approved symbol,DGUOK-AS1,DGUOK antisense RNA 1,HGNC:43441,2p13.1
MIR223,-0.020364489,MIR223,Approved symbol,MIR223,microRNA 223,HGNC:31603,Xq12
C8orf47,0.020361349,C8orf47,Previous symbol,ERICH5,glutamate rich 5,HGNC:26823,8q22.2
CD80,-0.020352105,CD80,Approved symbol,CD80,CD80 molecule,HGNC:1700,3q13.33
REC8,-0.020352069,REC8,Approved symbol,REC8,REC8 meiotic recombination protein,HGNC:16879,14q12
BATF3,-0.020349245,BATF3,Approved symbol,BATF3,basic leucine zipper ATF-like transcription factor 3,HGNC:28915,1q32.3
KLF5,0.020328084,KLF5,Approved symbol,KLF5,Kruppel like factor 5,HGNC:6349,13q22.1
SGIP1,-0.020326273,SGIP1,Approved symbol,SGIP1,SH3GL interacting endocytic adaptor 1,HGNC:25412,1p31.3
ZNF385D,-0.020313343,ZNF385D,Approved symbol,ZNF385D,zinc finger protein 385D,HGNC:26191,3p24.3
SERPINB7,-0.020294846,SERPINB7,Approved symbol,SERPINB7,serpin family B member 7,HGNC:13902,18q21.33
MYBL2,-0.020291253,MYBL2,Approved symbol,MYBL2,MYB proto-oncogene like 2,HGNC:7548,20q13.12
IL13RA2,-0.02028773,IL13RA2,Approved symbol,IL13RA2,interleukin 13 receptor subunit alpha 2,HGNC:5975,Xq23
DGCR2,0.020286144,DGCR2,Approved symbol,DGCR2,DiGeorge syndrome critical region gene 2,HGNC:2845,22q11.21
FXYD3,0.020279664,FXYD3,Approved symbol,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,19q13.12
PARS2,0.020272965,PARS2,Approved symbol,PARS2,"prolyl-tRNA synthetase 2, mitochondrial",HGNC:30563,1p32.3
KYNU,-0.02026436,KYNU,Approved symbol,KYNU,kynureninase,HGNC:6469,2q22.2
HNF1B,0.020259083,HNF1B,Approved symbol,HNF1B,HNF1 homeobox B,HGNC:11630,17q12
RP11-649G15.2,0.020243827,RP11-649G15.2,Unmatched,RP11-649G15.2,,,
F2RL2,-0.020243699,F2RL2,Approved symbol,F2RL2,coagulation factor II thrombin receptor like 2,HGNC:3539,5q13.3
ATP13A4,0.02023773,ATP13A4,Approved symbol,ATP13A4,ATPase 13A4,HGNC:25422,3q29
ITGAX,-0.020233456,ITGAX,Approved symbol,ITGAX,integrin subunit alpha X,HGNC:6152,16p11.2
RP11-298O21.2,-0.020226573,RP11-298O21.2,Unmatched,RP11-298O21.2,,,
SEMA7A,-0.020224858,SEMA7A,Approved symbol,SEMA7A,semaphorin 7A (John Milton Hagen blood group),HGNC:10741,15q24.1
FAM101A,0.020212831,FAM101A,Previous symbol,RFLNA,refilin A,HGNC:27051,12q24.31
EPB41L1,0.020198883,EPB41L1,Approved symbol,EPB41L1,erythrocyte membrane protein band 4.1 like 1,HGNC:3378,20q11.23
SAMSN1,-0.020193049,SAMSN1,Approved symbol,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",HGNC:10528,21q11.2
JAK3,-0.020190798,JAK3,Approved symbol,JAK3,Janus kinase 3,HGNC:6193,19p13.11
FAM171A1,0.020187483,FAM171A1,Approved symbol,FAM171A1,family with sequence similarity 171 member A1,HGNC:23522,10p13
PXMP2,0.020185407,PXMP2,Approved symbol,PXMP2,peroxisomal membrane protein 2,HGNC:9716,12q24.33
CLDN8,0.020179156,CLDN8,Approved symbol,CLDN8,claudin 8,HGNC:2050,21q22.11
BATF,-0.020178034,BATF,Approved symbol,BATF,basic leucine zipper ATF-like transcription factor,HGNC:958,14q24.3
PIF1,-0.020170795,PIF1,Approved symbol,PIF1,PIF1 5'-to-3' DNA helicase,HGNC:26220,15q22.31
NCF2,-0.020151361,NCF2,Approved symbol,NCF2,neutrophil cytosolic factor 2,HGNC:7661,1q25.3
FILIP1L,-0.020147056,FILIP1L,Approved symbol,FILIP1L,filamin A interacting protein 1 like,HGNC:24589,3q12.1
AKAP1,0.020141519,AKAP1,Approved symbol,AKAP1,A-kinase anchoring protein 1,HGNC:367,17q22
PADI2,0.020141053,PADI2,Approved symbol,PADI2,peptidyl arginine deiminase 2,HGNC:18341,1p36.13
RIPK2,-0.020138257,RIPK2,Approved symbol,RIPK2,receptor interacting serine/threonine kinase 2,HGNC:10020,8q21.3
MSN,-0.020135851,MSN,Approved symbol,MSN,moesin,HGNC:7373,Xq12
IL33,-0.020130502,IL33,Approved symbol,IL33,interleukin 33,HGNC:16028,9p24.1
MB21D1,-0.020121211,MB21D1,Previous symbol,CGAS,cyclic GMP-AMP synthase,HGNC:21367,6q13
AUTS2,0.020120579,AUTS2,Approved symbol,AUTS2,activator of transcription and developmental regulator AUTS2,HGNC:14262,7q11.22
WNK2,0.02011911,WNK2,Approved symbol,WNK2,WNK lysine deficient protein kinase 2,HGNC:14542,9q22.31
EMR3,-0.020117805,EMR3,Previous symbol,ADGRE3,adhesion G protein-coupled receptor E3,HGNC:23647,19p13.12
FAM20A,-0.020115109,FAM20A,Approved symbol,FAM20A,FAM20A golgi associated secretory pathway pseudokinase,HGNC:23015,17q24.2
ADARB1,-0.020112521,ADARB1,Approved symbol,ADARB1,adenosine deaminase RNA specific B1,HGNC:226,21q22.3
RP11-81H14.2,-0.020111848,RP11-81H14.2,Unmatched,RP11-81H14.2,,,
FUT8,-0.020111612,FUT8,Approved symbol,FUT8,fucosyltransferase 8,HGNC:4019,14q23.3
LILRB1,-0.020096553,LILRB1,Approved symbol,LILRB1,leukocyte immunoglobulin like receptor B1,HGNC:6605,19q13.42
NDUFA5,0.020089704,NDUFA5,Approved symbol,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,HGNC:7688,7q31.32
KMO,-0.020086448,KMO,Approved symbol,KMO,kynurenine 3-monooxygenase,HGNC:6381,1q43
RP11-346I3.4,0.020086097,RP11-346I3.4,Unmatched,RP11-346I3.4,,,
ORC6,-0.020084937,ORC6,Approved symbol,ORC6,origin recognition complex subunit 6,HGNC:17151,16q11.2
WNT2,-0.020077209,WNT2,Approved symbol,WNT2,Wnt family member 2,HGNC:12780,7q31.2
ENTPD5,0.0200716,ENTPD5,Approved symbol,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5 (inactive),HGNC:3367,14q24.3
ZNF629,0.020070285,ZNF629,Approved symbol,ZNF629,zinc finger protein 629,HGNC:29008,16p11.2
MAPK11,-0.020066012,MAPK11,Approved symbol,MAPK11,mitogen-activated protein kinase 11,HGNC:6873,22q13.33
DSG3,-0.020062403,DSG3,Approved symbol,DSG3,desmoglein 3,HGNC:3050,18q12.1
ACOT13,0.020061168,ACOT13,Approved symbol,ACOT13,acyl-CoA thioesterase 13,HGNC:20999,6p22.3
SYBU,0.020057123,SYBU,Approved symbol,SYBU,syntabulin,HGNC:26011,8q23.2
SRGN,-0.020056861,SRGN,Approved symbol,SRGN,serglycin,HGNC:9361,10q22.1
CTD-2319I12.1,-0.020056433,CTD-2319I12.1,Unmatched,CTD-2319I12.1,,,
COTL1,-0.020055116,COTL1,Approved symbol,COTL1,coactosin like F-actin binding protein 1,HGNC:18304,16q24.1
ZC2HC1C,0.020053458,ZC2HC1C,Approved symbol,ZC2HC1C,zinc finger C2HC-type containing 1C,HGNC:20354,14q24.3
CCDC115,0.02005313,CCDC115,Approved symbol,CCDC115,coiled-coil domain containing 115,HGNC:28178,2q21.1
SHCBP1,-0.020051102,SHCBP1,Approved symbol,SHCBP1,SHC binding and spindle associated 1,HGNC:29547,16q11.2
RP11-326F20.5,0.02005071,RP11-326F20.5,Unmatched,RP11-326F20.5,,,
KLK3,0.020049658,KLK3,Approved symbol,KLK3,kallikrein related peptidase 3,HGNC:6364,19q13.33
PDCD4,0.020044786,PDCD4,Approved symbol,PDCD4,programmed cell death 4,HGNC:8763,10q25.2
VAV3,0.020044672,VAV3,Approved symbol,VAV3,vav guanine nucleotide exchange factor 3,HGNC:12659,1p13.3
PEX19,0.020043958,PEX19,Approved symbol,PEX19,peroxisomal biogenesis factor 19,HGNC:9713,1q23.2
GPR97,-0.020041189,GPR97,Previous symbol,ADGRG3,adhesion G protein-coupled receptor G3,HGNC:13728,16q21
SLC26A2,0.02003961,SLC26A2,Approved symbol,SLC26A2,solute carrier family 26 member 2,HGNC:10994,5q32
PPARGC1A,0.020039555,PPARGC1A,Approved symbol,PPARGC1A,PPARG coactivator 1 alpha,HGNC:9237,4p15.2
RP11-284F21.9,0.020035047,RP11-284F21.9,Unmatched,RP11-284F21.9,,,
TMEM206,-0.020027211,TMEM206,Previous symbol,PACC1,proton activated chloride channel 1,HGNC:25593,1q32.3
TMEM8B,0.020025026,TMEM8B,Approved symbol,TMEM8B,transmembrane protein 8B,HGNC:21427,9p13.3
VSIG1,-0.020022641,VSIG1,Approved symbol,VSIG1,V-set and immunoglobulin domain containing 1,HGNC:28675,Xq22.3
GPR85,-0.020022416,GPR85,Approved symbol,GPR85,G protein-coupled receptor 85,HGNC:4536,7q31.1
MT1E,0.02001513,MT1E,Approved symbol,MT1E,metallothionein 1E,HGNC:7397,16q13
SPATA2,0.01999692,SPATA2,Approved symbol,SPATA2,spermatogenesis associated 2,HGNC:14681,20q13.13
ANGPT2,-0.019990174,ANGPT2,Approved symbol,ANGPT2,angiopoietin 2,HGNC:485,8p23.1
WDFY2,-0.019987554,WDFY2,Approved symbol,WDFY2,WD repeat and FYVE domain containing 2,HGNC:20482,13q14.3
CSF2RB,-0.019981954,CSF2RB,Approved symbol,CSF2RB,colony stimulating factor 2 receptor subunit beta,HGNC:2436,22q12.3
FOXP3,-0.019981037,FOXP3,Approved symbol,FOXP3,forkhead box P3,HGNC:6106,Xp11.23
