Rank	Score	Type	ID	Name	Description
8508	-60.9	cp	BRD-K64881305	ispinesib	Kinesin-like spindle protein inhibitor
8507	-60.29	cp	BRD-A10420615	cyclopiazonic-acid	ATPase inhibitor
8506	-60.25	cp	BRD-K40255344	tyrphostin-A9	Protein tyrosine kinase inhibitor
8505	-59.17	cp	BRD-K21806131	tegaserod	Serotonin receptor partial agonist
8504	-59.14	cp	BRD-K33551950	radicicol	HSP inhibitor
8503	-58.57	cp	BRD-K69328504	L-690488	Inositol monophosphatase inhibitor
8502	-58.52	cp	BRD-A72711497	lasalocid	Bacterial permeability inducer
8498	-56.56	cp	BRD-K50168500	canertinib	EGFR inhibitor
8492	-53.68	cp	BRD-K51730347	diphencyprone	Immunostimulant
8490	-51.98	cp	BRD-A11007541	BCI-hydrochloride	Protein phosphatase inhibitor
8487	-50.9	cp	BRD-K29653726	topiramate	Carbonic anhydrase inhibitor
8485	-49.65	cp	BRD-A41112154	oleanolic-acid	G protein-coupled receptor agonist
8483	-48.13	cp	BRD-K31843556	T-0070907	PPAR receptor antagonist
8479	-46.56	cp	BRD-K72895815	SSR-69071	Leukocyte elastase inhibitor
8478	-45.85	cp	BRD-K13642330	cosmosiin	Cytochrome P450 inhibitor
8477	-44.42	cp	BRD-A90131694	alclometasone	Glucocorticoid receptor agonist
8473	-42.65	cp	BRD-K69840642	ISOX	HDAC inhibitor
8472	-42.64	cp	BRD-K52075715	oxibendazole	Tubulin inhibitor
8469	-41.76	cp	BRD-K66019333	oxantel	Anthelmintic
8457	-37.44	cp	BRD-K83289131	CAY-10618	NAMPT inhibitor
8455	-36.9	cp	BRD-A49765801	fludroxycortide	Glucocorticoid receptor agonist
8452	-35.46	cp	BRD-K49810818	sorafenib	FLT3 inhibitor
8450	-35.25	cp	BRD-K72783841	tyrphostin-AG-555	EGFR inhibitor
8443	-31.97	cp	BRD-K17415526	tyrphostin-AG-835	Protein tyrosine kinase inhibitor
8434	-30.85	cp	BRD-K24526313	levcromakalim	Potassium channel activator
8432	-30.54	cp	BRD-K10042277	desmethylclozapine	Acetylcholine receptor agonist
8430	-30.24	cp	BRD-A79237180	ascorbic-acid	Antioxidant
8429	-30.09	cp	BRD-K37792168	denbufylline	Phosphodiesterase inhibitor
8428	-30.04	cp	BRD-K81418486	vorinostat	HDAC inhibitor
8427	-29.74	cp	BRD-K80348542	cephaeline	Protein synthesis inhibitor
8422	-29.02	cp	BRD-A08003242	rhodomyrtoxin-b	sodium fluorescein uptake inhibitor
8420	-28.78	cp	BRD-K39111395	BCL2-inhibitor	BCL inhibitor
8417	-27.27	cp	BRD-K18855837	varenicline	Acetylcholine receptor agonist
8415	-27.03	cp	BRD-K76872913	benzanthrone	Aromatic hydrocarbon derivative
8413	-26.47	cp	BRD-K37456065	VU-0365114-2	M5 modulator
8411	-25.78	cp	BRD-K36862742	hydroflumethiazide	Sodium/potassium/chloride transporter inhibitor
8407	-24.79	cp	BRD-K59419204	AM-281	Cannabinoid receptor antagonist
8405	-24.54	cp	BRD-K09638361	SA-63133	-666
8404	-24.5	cp	BRD-K62289640	lylamine	Cannabinoid receptor agonist
8403	-24.45	cp	BRD-A59215453	lobelanidine	Acetylcholine receptor antagonist
8397	-23.16	cp	BRD-A94669766	naringenin	Aromatase inhibitor
8395	-22.93	cp	BRD-K44849676	capsazepine	TRPV agonist
8387	-21.52	cp	BRD-U44618005	WH-4023	SRC inhibitor
8382	-21.03	cp	BRD-K05653692	DL-PDMP	Glucosyltransferase inhibitor
8381	-20.95	cp	BRD-K93645900	tadalafil	Phosphodiesterase inhibitor
8378	-20.3	cp	BRD-A43849199	karakoline	Phytotoxin
8377	-19.99	cp	BRD-K18036262	L-168049	Glucagon receptor antagonist
8376	-19.96	cp	BRD-K10870738	CDC	Lipoxygenase inhibitor
8375	-19.28	cp	BRD-K50422030	clomethiazole	GABA receptor antagonist
8374	-18.92	cp	BRD-A47144777	dihydro-7-desacetyldeoxygedunin	HSP inhibitor
8372	-18.8	cp	BRD-K26801045	pipamperone	Dopamine receptor antagonist
8365	-18.17	cp	BRD-K46742498	alosetron	Serotonin receptor antagonist
8364	-18.15	cp	BRD-K56614220	clofazimine	GK0582 inhibitor
8362	-18.05	cp	BRD-K06593056	LE-135	Retinoid receptor agonist
8361	-17.97	cp	BRD-A99571536	dubinidine	Anti-epileptic
8358	-17.06	cp	BRD-A25687296	emetine	Protein synthesis inhibitor
8354	-16.59	cp	BRD-K29178788	dictamnine	Furoquinoline alkaloid
8351	-16.35	cp	BRD-K08219523	5-nonyloxytryptamine	Serotonin receptor agonist
8347	-15.8	cp	BRD-A53077924	tianeptine	Selective serotonin reuptake enhancer (SSRE)
8346	-15.65	cp	BRD-K03842655	penitrem-a	Potassium channel blocker
8343	-15.09	cp	BRD-K59058766	chlorprothixene	Dopamine receptor antagonist
8342	-15.03	cp	BRD-K23922020	arecaidine	Acetylcholine receptor agonist
8339	-14.91	cp	BRD-K88677950	PD-198306	MAP kinase inhibitor
8338	-14.7	cp	BRD-K92758126	gibberellic-acid	NFkB pathway inhibitor
8337	-14.63	cp	BRD-K66707493	lawsone	Coloring agent
8336	-14.61	cp	BRD-A81402010	KU-C103443N	CDC inhibitor
8335	-14.38	cp	BRD-K30296925	flavokavain-b	Antineoplastic
8329	-13.65	cp	BRD-K64670467	JNJ-16259685	Glutamate receptor antagonist
8326	-13.41	cp	BRD-K63151507	MNITMT	Lymphocyte inhibitor
8324	-13.3	cp	BRD-K99411983	lumicolchicine	Colchicine isomer, non-binder of microtubules
8323	-13.25	cp	BRD-K60274257	dephostatin	Tyrosine phosphatase inhibitor
8322	-13.15	cp	BRD-K14618467	IKK-16	IKK inhibitor
8321	-13.14	cp	BRD-A64933752	CV-1808	Adenosine receptor agonist
8319	-13	cp	BRD-K32610195	androstenedione	Cytochrome P450 inhibitor
8318	-12.92	cp	BRD-K95785537	PP-2	SRC inhibitor
8317	-12.91	cp	BRD-K15616905	CCCP	Mitochondrial oxidative phosphorylation uncoupler
8314	-12.81	cp	BRD-K13356952	methazolamide	Carbonic anhydrase inhibitor
8312	-12.63	cp	BRD-K76674262	homoharringtonine	Protein synthesis inhibitor
8310	-12.51	cp	BRD-K56301217	ABT-737	BCL inhibitor
8309	-12.47	cp	BRD-A96897502	U-74389F	Lipid peroxidase inhibitor
8306	-12.4	cp	BRD-K59633790	VU-0420363-1	SARS coronavirus 3C-like protease inhibitor
8307	-12.4	cp	BRD-K95237249	probenecid	Uricosuric blocker
8304	-12.16	cp	BRD-K17497770	butein	EGFR inhibitor
8300	-11.83	cp	BRD-U33728988	QL-X-138	MTOR inhibitor
8299	-11.81	cp	BRD-A89337244	PD-102807	Acetylcholine receptor antagonist
8298	-11.79	cp	BRD-A46186775	hydrocortisone	Glucocorticoid receptor agonist
8295	-11.54	cp	BRD-K99063460	didanosine	Nucleoside reverse transcriptase inhibitor
8292	-11.43	cp	BRD-K81916719	triclabendazole	Microtubule inhibitor
8291	-11.42	cp	BRD-K14821540	FCCP	Mitochondrial oxidative phosphorylation uncoupler
8289	-11.26	cp	BRD-K10852020	tolcapone	Catechol O methyltransferase inhibitor
8286	-10.98	cp	BRD-K89626439	sirolimus	MTOR inhibitor
8283	-10.71	cp	BRD-K62374253	rufloxacin	Bacterial DNA gyrase inhibitor
8281	-10.46	cp	BRD-K54095730	CMPD-1	p38 MAPK inhibitor
8280	-10.34	cp	BRD-K48168960	propylthiouracil	Thyroid peroxidase inhibitor
8278	-10.14	cp	BRD-K17140735	SCH-79797	Proteasome inhibitor
8276	-9.84	cp	BRD-K50384076	7,4'-dihydroxyflavone	Opioid receptor antagonist
8275	-9.69	cp	BRD-K93441486	diphemanil	Acetylcholine receptor antagonist
8274	-9.54	cp	BRD-A55416093	colforsin	Adenylyl cyclase activator
8271	-9.21	cp	BRD-A47513740	calyculin	Protein phosphatase inhibitor
8269	-9.16	cp	BRD-K53959060	indirubin	CDK inhibitor
8268	-9.15	cp	BRD-A87848830	bimatoprost	Prostanoid receptor agonist
8266	-9.12	cp	BRD-K80315159	DPPE	Histamine receptor antagonist
8267	-9.12	cp	BRD-A42346008	metanephrine	Epinephrine metabolite
8265	-9.08	cp	BRD-A09062839	amylocaine	Local anesthetic
8262	-8.84	cp	BRD-K78373679	RO-3306	CDK inhibitor
8258	-8.67	cp	BRD-K08890269	CO-102862	Sodium channel blocker
8254	-8.5	cp	BRD-K74141488	naftifine	Fungal squalene epoxidase inhibitor
8250	-8.19	cp	BRD-K07303502	arachidonyl-trifluoro-methane	Cytosolic phospholipase inhibitor
8245	-7.98	cp	BRD-K11158509	tyrphostin-B44	EGFR inhibitor
8242	-7.87	cp	BRD-A31521121	methocarbamol	Muscle relaxant
8239	-7.7	cp	BRD-K33882852	ZK-93423	Benzodiazepine receptor agonist
8230	-7.31	cp	BRD-K09631521	thiotepa	Cytochrome P450 inhibitor
8224	-6.92	cp	BRD-A16700644	isoxsuprine	Adrenergic receptor agonist
8223	-6.91	cp	BRD-K40782193	QX-222	Sodium channel blocker
8215	-6.63	cp	BRD-K74112339	acetohydroxamic-acid	Urease inhibitor
8210	-6.4	cp	BRD-K80431395	triciribine	AKT inhibitor
8209	-6.39	cp	BRD-A34205397	suloctidil	Adrenergic receptor antagonist
8207	-6.33	cp	BRD-K57631554	aminolevulinic-acid	Oxidizing agent
8206	-6.31	cp	BRD-M30523314	vinorelbine	Tubulin inhibitor
8204	-6.27	cp	BRD-A74904029	EI-231	Casein kinase inhibitor
8203	-6.21	cp	BRD-A57457122	VU-0400071-3	Glutamate receptor modulator
8199	-6.15	cp	BRD-K43860855	iobenguane	Antineoplastic
8193	-5.99	cp	BRD-K64044582	linoleamide	ACAT inhibitor
8194	-5.99	cp	BRD-A06352418	terfenadine	Histamine receptor antagonist
8187	-5.82	cp	BRD-A62890442	3-methyl-GABA	GABA aminotransferase activator
8186	-5.77	cp	BRD-A50675702	fipronil	GABA gated chloride channel blocker
8180	-5.57	cp	BRD-K49669041	BX-912	Pyruvate dehydrogenase kinase inhibitor
8178	-5.53	cp	BRD-K22631935	neurodazine	Neurogenesis of non-pluripotent C2C12 myoblast inducer
8177	-5.51	cp	BRD-K16277217	piperacetazine	Dopamine receptor antagonist
8175	-5.48	cp	BRD-A18043272	phensuximide	Succinimide antiepileptic
8170	-5.31	cp	BRD-A19248578	latrunculin-b	Actin polymerization inhibitor
8168	-5.29	cp	BRD-K99922388	DPO-1	Potassium channel blocker
8165	-5.21	cp	BRD-K46469693	SCH-442416	Adenosine receptor antagonist
8163	-5.19	cp	BRD-A95696820	acadesine	AMPK activator
8162	-5.17	cp	BRD-K77641333	naphazoline	Adrenergic receptor agonist
8161	-5.1	cp	BRD-A82238138	budesonide	Glucocorticoid receptor agonist
8154	-4.96	cp	BRD-K79131256	albendazole	Anthelmintic
8152	-4.93	cp	BRD-A23637604	oxymetholone	Androgen receptor agonist
8153	-4.93	cp	BRD-A55484088	BNTX	Opioid receptor antagonist
8149	-4.9	cp	BRD-A83695761	chromanol	Potassium channel blocker
8146	-4.83	cp	BRD-K52522949	NCH-51	HDAC inhibitor
8144	-4.76	cp	BRD-K94512704	spiramide	Dopamine receptor antagonist
8134	-4.56	cp	BRD-K55468218	spiperone	Dopamine receptor antagonist
8133	-4.55	cp	BRD-A54487287	cortisone	Glucocorticoid receptor agonist
8132	-4.47	cp	BRD-A18620900	estriol	Estrogen receptor agonist
8129	-4.4	cp	BRD-K06750613	GSK-1059615	PI3K inhibitor
8126	-4.35	cp	BRD-K33308633	INCA-6	Calcineurin inhibitor
8118	-4.21	cp	BRD-K83144676	olmesartan	Angiotensin antagonist
8116	-4.16	cp	BRD-K94919853	10H-phenothiazin-10-yl)(p-tolyl)methanone	Butyrylcholinesterase inhibitor
8114	-4.13	cp	BRD-A52282606	lacidipine	Calcium channel blocker
8112	-4.09	cp	BRD-K13927029	retinol	Retinoid receptor ligand
8105	-4	cp	BRD-M45964048	verteporfin	Photosensitizing agent
8096	-3.84	cp	BRD-K12867552	THM-I-94	HDAC inhibitor
8094	-3.76	cp	BRD-K55420858	mirin	MRE11A exonuclease inhibitor
8090	-3.72	cp	BRD-K74514084	pazopanib	KIT inhibitor
8091	-3.72	cp	BRD-K27710560	splitomycin	SIRT inhibitor
8088	-3.67	cp	BRD-K94176593	TWS-119	Glycogen synthase kinase inhibitor
8086	-3.65	cp	BRD-K84175871	pseudoephedrine	Adrenergic receptor agonist
8084	-3.63	cp	BRD-A55369275	CGP-54626	GABA receptor antagonist
8082	-3.61	cp	BRD-K11107424	tiotidine	Histamine receptor antagonist
8083	-3.61	cp	BRD-A91866971	SQ-29548	Thromboxane receptor antagonist
8081	-3.59	cp	BRD-K68264559	brimonidine	Adrenergic receptor agonist
8080	-3.56	cp	BRD-K50891186	GR-103691	Dopamine receptor antagonist
8077	-3.52	cp	BRD-K95899059	LY-344864	Serotonin receptor agonist
8074	-3.45	cp	BRD-K75181824	acetyl-geranygeranyl-cysteine	Inhibitor of methyl esterification of geranylgeranylated proteins
8072	-3.42	cp	BRD-K09537769	NU-7026	DNA dependent protein kinase inhibitor
8071	-3.39	cp	BRD-K31283835	tofacitinib	JAK inhibitor
8065	-3.31	cp	BRD-K84595254	strophanthidin	ATPase inhibitor
8066	-3.31	cp	BRD-K36395411	SB-206553	Serotonin receptor antagonist
8067	-3.31	cp	BRD-K53414658	tivozanib	VEGFR inhibitor
8056	-3.21	cp	BRD-A29437505	RWJ-21757	TLR agonist
8054	-3.19	cp	BRD-K95402279	geranylgeraniol	Farnesyltransferase inhibitor
8041	-3.03	cp	BRD-K04111260	raclopride	Dopamine receptor antagonist
8034	-3	cp	BRD-K05181084	NGB-2904	Dopamine receptor antagonist
8035	-3	cp	BRD-K32828673	chelidonine	Tubulin inhibitor
8036	-3	cp	BRD-K37194137	III606050	Cytochrome P450 inhibitor
8032	-2.96	cp	BRD-K56064827	EI-273	PKC inhibitor
8033	-2.96	cp	BRD-K70883034	nimetazepam	GABA receptor agonist
8029	-2.92	cp	BRD-K36529613	PU-H71	HSP inhibitor
8030	-2.92	cp	BRD-K32526544	DCEBIO	Potassium channel activator
8023	-2.85	cp	BRD-K24538644	KUC104502N	-666
8021	-2.84	cp	BRD-A33084410	5'-guanidinonaltrindole	Opioid receptor antagonist
8017	-2.82	cp	BRD-K66412701	pazufloxacin	Topoisomerase inhibitor
8018	-2.82	cp	BRD-K36198571	WAY-170523	Metalloproteinase inhibitor
8016	-2.78	cp	BRD-A43150328	penicillic-acid	other antibiotic
8011	-2.75	cp	BRD-K40175214	torin-1	MTOR inhibitor
8007	-2.71	cp	BRD-K94441233	mevastatin	HMGCR inhibitor
8008	-2.71	cp	BRD-K74913225	brinzolamide	Carbonic anhydrase inhibitor
8002	-2.67	cp	BRD-K59574735	ubenimex	Leukotriene inhibitor
7999	-2.64	cp	BRD-K59650319	YM-298198	Glutamate receptor antagonist
7994	-2.62	cp	BRD-K61829047	7b-cis	Exportin antagonist
7992	-2.61	cp	BRD-K82109576	vincristine	Tubulin inhibitor
7986	-2.54	cp	BRD-K43149758	myricetin	Androgen receptor agonist
7987	-2.54	cp	BRD-K81376179	TCS-359	FLT3 inhibitor
7988	-2.54	cp	BRD-K21520694	sulfacetamide	PABA antagonist
7985	-2.52	cp	BRD-K09991945	GSK-3-inhibitor-II	PKC inhibitor
7982	-2.5	cp	BRD-A27489425	rolitetracycline	Bacterial 30S ribosomal subunit inhibitor
7983	-2.5	cp	BRD-A25775766	securinine	GABA receptor antagonist
7977	-2.43	cp	BRD-K51671335	sulpiride	Dopamine receptor antagonist
7975	-2.41	cp	BRD-A51393488	noscapine	Bradykinin receptor antagonist
7968	-2.4	cp	BRD-K83837640	JNJ-26854165	HDAC inhibitor
7969	-2.4	cp	BRD-K52020312	metronidazole	DNA inhibitor
7970	-2.4	cp	BRD-K72029282	probucol	Atherogenesis inhibitor
7971	-2.4	cp	BRD-A80793822	pemoline	Dopamine receptor agonist
7972	-2.4	cp	BRD-K83988098	alvespimycin	HSP inhibitor
7965	-2.36	cp	BRD-A48570745	ivermectin	GABA receptor agonist
7964	-2.35	cp	BRD-K96402602	farnesylthiotriazole	PPMTase inhibitor
7955	-2.26	cp	BRD-K61192372	capecitabine	DNA synthesis inhibitor
7950	-2.18	cp	BRD-K07507905	BRL-37344	Adrenergic receptor agonist
7953	-2.18	cp	BRD-K56343971	vemurafenib	RAF inhibitor
7946	-2.17	cp	BRD-K74305673	IKK-2-inhibitor-V	IKK inhibitor
7939	-2.15	cp	BRD-A43974499	reboxetine	Adrenergic receptor antagonist
7940	-2.15	cp	BRD-K01648091	LE-300	Dopamine receptor antagonist
7941	-2.15	cp	BRD-A93477898	PETCM	Caspase activator
7942	-2.15	cp	BRD-K68507560	dicycloverine	Acetylcholine receptor antagonist
7937	-2.11	cp	BRD-A99833829	bethanechol	Acetylcholine receptor agonist
7929	-2.08	cp	BRD-K04993501	cefixime	Bacterial cell wall synthesis inhibitor
7930	-2.08	cp	BRD-K52735702	cefdinir	Bacterial cell wall synthesis inhibitor
7931	-2.08	cp	BRD-K38477985	malonoben	Protein tyrosine kinase inhibitor
7927	-2.06	cp	BRD-A02990301	lofexidine	Adrenergic receptor agonist
7924	-2.04	cp	BRD-K50660797	epicatechin	Bacterial DNA gyrase inhibitor
7918	-2.01	cp	BRD-K70490179	rimcazole	Sigma receptor antagonist
7919	-2.01	cp	BRD-K87142802	veliparib	PARP inhibitor
7912	-1.97	cp	BRD-U08759356	EI-346-erlotinib-analog	EGFR inhibitor
7913	-1.97	cp	BRD-K48115423	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	Matrix metalloprotease inhibitor
7914	-1.97	cp	BRD-K78122587	NNC-55-0396	T-type calcium channel blocker
7910	-1.93	cp	BRD-K28863208	PNU-282987	Cholinergic receptor agonist
7909	-1.92	cp	BRD-K48427617	U-0124	MEK inhibitor
7907	-1.9	cp	BRD-M40783228	mesna	Antioxidant
7903	-1.88	cp	BRD-K07117950	imperatorin	CDK inhibitor
7896	-1.87	cp	BRD-K53913732	SB-408124	Orexin receptor antagonist
7897	-1.87	cp	BRD-K28667196	fillalbin	Increases arterial blood pressure
7898	-1.87	cp	BRD-K43796186	benzyl-quinazolin-4-yl-amine	EGFR inhibitor
7899	-1.87	cp	BRD-K47717570	NBQX	Glutamate receptor antagonist
7902	-1.87	cp	BRD-A02367930	ethinyl-estradiol	DNA directed DNA polymerase stimulant
7891	-1.83	cp	BRD-K97564742	mepyramine	Histamine receptor antagonist
7892	-1.83	cp	BRD-K34092021	arvanil	TRPV agonist
7893	-1.83	cp	BRD-K02407574	parbendazole	Tubulin inhibitor
7890	-1.81	cp	BRD-K51575138	TPCA-1	IKK inhibitor
7884	-1.8	cp	BRD-K30189597	SYK-inhibitor	SYK inhibitor
7885	-1.8	cp	BRD-A10715913	sulpiride	Dopamine receptor antagonist
7886	-1.8	cp	BRD-K45435259	SCH-23390	Dopamine receptor antagonist
7887	-1.8	cp	BRD-A94709349	metaxalone	Muscle relaxant
7876	-1.76	cp	BRD-A84389633	tropanyl-3,5-dimethylbenzoate	Serotonin receptor antagonist
7882	-1.76	cp	BRD-A01826957	xanthinol	Vasodilator
7871	-1.74	cp	BRD-K29905972	axitinib	PDGFR receptor inhibitor
7863	-1.69	cp	BRD-K16551401	PNU-22394	Serotonin receptor agonist
7864	-1.69	cp	BRD-A49734948	foliosidine	Plant alkaloid
7865	-1.69	cp	BRD-K26664453	cytochalasin-b	Microtubule inhibitor
7857	-1.65	cp	BRD-K42095107	daidzein	Estrogen receptor agonist
7853	-1.62	cp	BRD-K39983086	loteprednol	Glucocorticoid receptor agonist
7854	-1.62	cp	BRD-K93188295	ARC-239	Adrenergic receptor antagonist
7851	-1.61	cp	BRD-K28667793	pyrazinamide	Fatty acid synthase inhibitor
7849	-1.59	cp	BRD-A00100033	nifurtimox	DNA inhibitor
7850	-1.59	cp	BRD-K23623876	decafluorobutane	Contrast agent
7844	-1.57	cp	BRD-K90382497	GW-843682X	PLK inhibitor
7840	-1.55	cp	BRD-K78278890	NM-PP1	Mutant kinase inhibitor
7841	-1.55	cp	BRD-K95763993	trapidil	PDGFR receptor inhibitor
7842	-1.55	cp	BRD-K74133369	oligomycin-a	ATP synthase inhibitor
7838	-1.54	cp	BRD-A11990600	lorazepam	Benzodiazepine receptor agonist
7839	-1.54	cp	BRD-K07212038	selinidin	Mast cell stabilizer
7832	-1.52	cp	BRD-K97309399	thiothixene	Dopamine receptor antagonist
7833	-1.52	cp	BRD-K13646352	midostaurin	FLT3 inhibitor
7834	-1.52	cp	BRD-K32292990	CGP-53353	EGFR inhibitor
7829	-1.48	cp	BRD-K33572481	taurodeoxycholic-acid	Bile acid
7822	-1.44	cp	BRD-K82823804	SA-792987	PKC inhibitor
7823	-1.44	cp	BRD-K76775527	nimesulide	Cyclooxygenase inhibitor
7824	-1.44	cp	BRD-K62310379	fluticasone	Glucocorticoid receptor agonist
7825	-1.44	cp	BRD-K72222507	quinapril	ACE inhibitor
7826	-1.44	cp	BRD-K20655524	mefexamide	Psychoactive drug
7819	-1.43	cp	BRD-K89046952	ciclacillin	Bacterial cell wall synthesis inhibitor
7818	-1.41	cp	BRD-K64746805	MBCQ	Phosphodiesterase inhibitor
7815	-1.39	cp	BRD-K92413528	thiazolidinecarboxylic-acid	Reducing agent
7812	-1.37	cp	BRD-K33226500	indinavir	HIV protease inhibitor
7813	-1.37	cp	BRD-K48735772	PD-158780	EGFR inhibitor
7809	-1.34	cp	BRD-K68202742	trichostatin-a	HDAC inhibitor
7810	-1.34	cp	BRD-K46211610	tolazoline	Adrenergic receptor antagonist
7804	-1.3	cp	BRD-A97730597	hexylcaine	Sodium channel blocker
7802	-1.27	cp	BRD-K66175015	afatinib	EGFR inhibitor
7803	-1.27	cp	BRD-A65767837	hydrocortisone	Glucocorticoid receptor agonist
7794	-1.23	cp	BRD-K67506692	tyrphostin-AG-126	ERK1 and ERK2 phosphorylation inhibitor
7795	-1.23	cp	BRD-K61314889	IWR-1-ENDO	PARP inhibitor
7796	-1.23	cp	BRD-K32536677	AGK-2	SIRT inhibitor
7792	-1.2	cp	BRD-K44779798	miglitol	Glucosidase inhibitor
7793	-1.2	cp	BRD-K39391626	ethylestrenol	Progesterone receptor agonist
7785	-1.16	cp	BRD-K34995470	SU-1498	VEGFR inhibitor
7786	-1.16	cp	BRD-A34806832	proscillaridin	ATPase inhibitor
7783	-1.15	cp	BRD-K39670393	amthamine	Histamine receptor agonist
7777	-1.13	cp	BRD-K62858456	lomerizine	Calcium channel blocker
7778	-1.13	cp	BRD-A41995253	brucine	Glycine receptor antagonist
7779	-1.13	cp	BRD-A27554692	altrenogest	Progestogen hormone
7781	-1.13	cp	BRD-A46179541	doxapram	Potassium channel blocker
7782	-1.13	cp	BRD-K74501079	azithromycin	Bacterial 50S ribosomal subunit inhibitor
7776	-1.12	cp	BRD-M41783010	acamprosate	Glutamate receptor antagonist
7768	-1.09	cp	BRD-K75295174	alisertib	Aurora kinase inhibitor
7769	-1.09	cp	BRD-K00486786	RO-08-2750	NGF binding inhibitor
7770	-1.09	cp	BRD-K40578143	GR-79236	Adenosine receptor agonist
7771	-1.09	cp	BRD-A25004090	erastin	Ion channel antagonist
7761	-1.06	cp	BRD-K82255054	propofol	GABA receptor agonist
7762	-1.06	cp	BRD-K85015012	NNC-05-2090	GAT inhibitor
7763	-1.06	cp	BRD-K60230970	MG-132	Proteasome inhibitor
7760	-1.05	cp	BRD-K26674531	GR-235	Estrogen receptor agonist
7752	-1.02	cp	BRD-K47328134	lysylphenylalanyl-tyrosine	Heparin activation inhibitor
7753	-1.02	cp	BRD-K14441456	tyrphostin-AG-556	EGFR inhibitor
7754	-1.02	cp	BRD-K04887706	AKT-inhibitor-1-2	AKT inhibitor
7755	-1.02	cp	BRD-K33583600	isoliquiritigenin	Guanylate cyclase activator
7751	-1.01	cp	BRD-A69636825	diltiazem	Calcium channel blocker
7746	-0.99	cp	BRD-K56957086	dacinostat	HDAC inhibitor
7747	-0.99	cp	BRD-K09549677	mibefradil	T-type calcium channel blocker
7748	-0.99	cp	BRD-K95885906	quercetagetin	PIM inhibitor
7749	-0.99	cp	BRD-K53523901	arctigenin	MEK inhibitor
7742	-0.95	cp	BRD-A95513702	androsta-1,4-dien-3,17-dione	Aromatase inhibitor
7743	-0.95	cp	BRD-K43468059	byssochlamic-acid	Mycotoxin
7741	-0.94	cp	BRD-K94887716	TFMPP	Serotonin receptor agonist
7737	-0.92	cp	BRD-A49046702	SKF-89976A	GABA uptake inhibitor
7738	-0.92	cp	BRD-A69960130	bromocriptine	Dopamine receptor agonist
7739	-0.92	cp	BRD-K02581333	protein-tyrosine-phosphatase-inhibitor-IV	Tyrosine phosphatase inhibitor
7736	-0.91	cp	BRD-K27184429	levocetirizine	Histamine receptor antagonist
7735	-0.9	cp	BRD-K90733503	cefalexin	Bacterial cell wall synthesis inhibitor
7734	-0.89	cp	BRD-K63430059	methoxsalen	DNA synthesis inhibitor
7732	-0.88	cp	BRD-K04196797	oxcarbazepine	Sodium channel blocker
7733	-0.88	cp	BRD-K32330832	VER-155008	HSP inhibitor
7728	-0.85	cp	BRD-K63913457	eicosatrienoic-acid	Vasodilator
7729	-0.85	cp	BRD-K31238592	devazepide	CCK receptor antagonist
7730	-0.85	cp	BRD-A81772229	simvastatin	HMGCR inhibitor
7722	-0.81	cp	BRD-K87048468	RS-102221	Serotonin receptor antagonist
7723	-0.81	cp	BRD-A20126139	medrysone	Glucocorticoid receptor agonist
7724	-0.81	cp	BRD-K17008822	BD-1008	Sigma receptor antagonist
7725	-0.81	cp	BRD-K73109821	diazoxide	Potassium channel activator
7716	-0.78	cp	BRD-K28115081	apafant	Platelet activating factor receptor antagonist
