Rank	Score	Type	ID	Name	Description
187	34.86	cp	BRD-K34092021	arvanil	TRPV agonist
188	34.59	cp	BRD-K53665955	MK-5108	Aurora kinase inhibitor
189	34.59	cp	BRD-K41996876	tyrphostin-1	EGFR inhibitor
191	34.05	cp	BRD-K96263742	GW-7647	PPAR receptor agonist
195	33.62	cp	BRD-U44700465	HG-5-88-01	Protein kinase inhibitor
197	33.59	cp	BRD-K29950728	clomifene	Estrogen receptor antagonist
199	33.37	cp	BRD-K83508485	FK-888	Tachykinin antagonist
201	33.07	cp	BRD-A48430263	pioglitazone	Insulin sensitizer
205	32.19	cp	BRD-K46424862	hymecromone	Monoamine oxidase inhibitor
206	31.77	cp	BRD-A45664787	iloprost	Platelet aggregation inhibitor
211	31.31	cp	BRD-K28360340	TW-37	BCL inhibitor
212	31.13	cp	BRD-K64857848	XMD-885	Leucine rich repeat kinase inhibitor
213	31.1	cp	BRD-K13725475	rhodomyrtoxin	Cytotoxic agent
215	30.98	cp	BRD-K10098805	rhapontin	Apoptosis stimulant
217	30.86	cp	BRD-K50422030	clomethiazole	GABA receptor antagonist
218	30.84	cp	BRD-K20285085	fostamatinib	SYK inhibitor
225	30.19	cp	BRD-A01346607	flumetasone	Glucocorticoid receptor agonist
230	29.9	cp	BRD-A68888262	azelastine	Histamine receptor antagonist
231	29.89	cp	BRD-K62012036	acitretin	Retinoid receptor agonist
232	29.68	cp	BRD-K23922020	arecaidine	Acetylcholine receptor agonist
235	29.48	cp	BRD-K02407574	parbendazole	Tubulin inhibitor
237	29.24	cp	BRD-K05396879	15-delta-prostaglandin-j2	PPAR receptor agonist
241	28.84	cp	BRD-K07212038	selinidin	Mast cell stabilizer
247	28.03	cp	BRD-A06352508	SB-218078	CHK inhibitor
252	27.61	cp	BRD-K80725821	RS-16566	Serotonin receptor antagonist
254	27.41	cp	BRD-A65550283	ginsenoside	Steroid hormone receptor agonist
256	27.32	cp	BRD-K04185004	oxybuprocaine	Local anesthetic
259	26.96	cp	BRD-K71823332	epothilone-a	Microtubule stabilizing agent
260	26.91	cp	BRD-A49906757	scopolamine	Acetylcholine receptor antagonist
262	26.6	cp	BRD-K01649396	indatraline	Norepinephrine transporter inhibitor
264	26.55	cp	BRD-K53414658	tivozanib	VEGFR inhibitor
273	25.9	cp	BRD-K13049116	BMS-754807	IGF-1 inhibitor
276	25.63	cp	BRD-K59637651	NSC-119889	Protein synthesis inhibitor
277	25.61	cp	BRD-A88254928	salbutamol	Adrenergic receptor agonist
280	25.3	cp	BRD-A15010982	HU-211	Glutamate receptor antagonist
281	25.28	cp	BRD-K36627727	tamibarotene	Retinoid receptor agonist
284	24.59	cp	BRD-A53952395	prilocaine	Local anesthetic
285	24.47	cp	BRD-K46212057	voriconazole	Cytochrome P450 inhibitor
289	24.23	cp	BRD-K18523449	mestanolone	Androgenic steroid
300	22.56	cp	BRD-K44497846	enalapril	ACE inhibitor
302	22.3	cp	BRD-K49372556	mofezolac	Cyclooxygenase inhibitor
303	21.99	cp	BRD-K72783841	tyrphostin-AG-555	EGFR inhibitor
309	21.5	cp	BRD-K28115081	apafant	Platelet activating factor receptor antagonist
316	20.75	cp	BRD-K70914287	BIBX-1382	EGFR inhibitor
317	20.63	cp	BRD-K99964838	bosutinib	ABL inhibitor
318	20.61	cp	BRD-K59419204	AM-281	Cannabinoid receptor antagonist
322	20.3	cp	BRD-K96119599	leucodin	Melanin inhibitor
323	20.13	cp	BRD-K19462402	buflomedil	Adrenergic receptor antagonist
325	19.98	cp	BRD-K32398298	alprazolam	Benzodiazepine receptor agonist
326	19.45	cp	BRD-A64933752	CV-1808	Adenosine receptor agonist
328	19.27	cp	BRD-A93000692	ciglitazone	PPAR receptor agonist
330	19.24	cp	BRD-K84639753	safinamide	Dopamine uptake inhibitor
333	19.07	cp	BRD-A57457122	VU-0400071-3	Glutamate receptor modulator
339	18.84	cp	BRD-K02607075	tubocurarine	Acetylcholine receptor antagonist
340	18.79	cp	BRD-K92991072	PAC-1	Caspase activator
342	18.62	cp	BRD-K44432556	VU-0418946-1	HIF modulator
345	18.37	cp	BRD-K82036761	sertraline	Serotonin receptor antagonist
347	18.33	cp	BRD-K66412701	pazufloxacin	Topoisomerase inhibitor
348	18.3	cp	BRD-A35511923	L-803087	Somatostatin receptor agonist
351	18.13	cp	BRD-A42553870	L-152804	Neuropeptide receptor antagonist
353	18.03	cp	BRD-K03440695	boldine	Acetylcholine receptor antagonist
354	18.03	cp	BRD-A29901043	KIN001-127	ITK inhibitor
359	17.79	cp	BRD-K93325701	damnacanthal	SRC inhibitor
362	17.71	cp	BRD-K86887724	dofetilide	Potassium channel blocker
364	17.54	cp	BRD-K27871032	lysergol	Ergoline alkaloid
366	17.53	cp	BRD-K13211965	L-741742	Dopamine receptor antagonist
367	17.5	cp	BRD-K95655893	MAZ-51	VEGFR inhibitor
368	17.45	cp	BRD-K11911061	GR-127935	Serotonin receptor antagonist
371	17.26	cp	BRD-A44448661	pentobarbital	Barbiturate antiepileptic
374	17.23	cp	BRD-K51941867	LM-1685	Cyclooxygenase inhibitor
375	17.22	cp	BRD-K15262564	mupirocin	Isoleucyl-tRNA synthetase inhibitor
377	17.14	cp	BRD-K86600316	RS-79948	Adrenergic receptor antagonist
380	16.94	cp	BRD-K92000912	AM-251	Cannabinoid receptor antagonist
382	16.9	cp	BRD-K77998258	ganglioside	SRC activator
383	16.9	cp	BRD-K69032158	diprotin-a	Dipeptidyl peptidase inhibitor
385	16.87	cp	BRD-K99063460	didanosine	Nucleoside reverse transcriptase inhibitor
386	16.84	cp	BRD-K03600606	catechin	Beta secretase inhibitor
388	16.73	cp	BRD-A16754160	ampicillin	Bacterial cell wall synthesis inhibitor
390	16.72	cp	BRD-A44008656	doxylamine	Histamine receptor antagonist
391	16.62	cp	BRD-K46766488	S-14506	Serotonin receptor agonist
392	16.62	cp	BRD-A09062839	amylocaine	Local anesthetic
394	16.42	cp	BRD-A52326238	isogedunin	HSP inhibitor
395	16.4	cp	BRD-K67439147	SIB-1893	Glutamate receptor antagonist
396	16.36	cp	BRD-K86191271	cytosporone-b	NUR77 receptor agonist
397	16.36	cp	BRD-A18620900	estriol	Estrogen receptor agonist
400	16.26	cp	BRD-K30020243	aliskiren	Antihypertensive
402	16.19	cp	BRD-K15025317	BAY-11-7821	NFkB pathway inhibitor
403	16.18	cp	BRD-A62057054	MDL-11939	Serotonin receptor antagonist
406	15.72	cp	BRD-A38913120	BH3I-1	BCL inhibitor
409	15.5	cp	BRD-A99571536	dubinidine	Anti-epileptic
412	15.26	cp	BRD-A20239487	atenolol	Adrenergic receptor antagonist
413	15.24	cp	BRD-A54927599	KF-38789	P-selectin inhibitor
414	15.18	cp	BRD-A96799240	4-hydroxyretinoic-acid	Retinoid receptor binder
417	15.11	cp	BRD-A78391468	prednisolone	Glucocorticoid receptor agonist
424	14.84	cp	BRD-K61829047	7b-cis	Exportin antagonist
426	14.82	cp	BRD-K63913457	eicosatrienoic-acid	Vasodilator
427	14.8	cp	BRD-A53077924	tianeptine	Selective serotonin reuptake enhancer (SSRE)
428	14.68	cp	BRD-K35723520	darinaparsin	Apoptosis stimulant
430	14.62	cp	BRD-K68402494	ML-9	Myosin light chain kinase inhibitor
434	14.28	cp	BRD-A25576662	streptozotocin	DNA alkylating agent
435	14.23	cp	BRD-A56987319	SQ-22536	Adenylyl cyclase inhibitor
437	14.13	cp	BRD-K87226815	cycloserine	Bacterial cell wall synthesis inhibitor
439	14	cp	BRD-M40783228	mesna	Antioxidant
441	13.85	cp	BRD-K47598052	PP-1	SRC inhibitor
444	13.57	cp	BRD-A80638690	floxuridine	DNA synthesis inhibitor
449	13.35	cp	BRD-K98493452	honokiol	AKT inhibitor
452	13.23	cp	BRD-K46142322	RS-67333	Serotonin receptor partial agonist
454	13.21	cp	BRD-K82562631	tolmetin	Cyclooxygenase inhibitor
455	13.19	cp	BRD-K68997413	PF-3845	FAAH inhibitor
456	13.15	cp	BRD-K09549677	mibefradil	T-type calcium channel blocker
457	13.13	cp	BRD-A51820102	econazole	Bacterial cell wall synthesis inhibitor
462	13.02	cp	BRD-A96107863	nisoldipine	Calcium channel blocker
464	13	cp	BRD-K82941592	rosuvastatin	HMGCR inhibitor
466	12.93	cp	BRD-K05653692	DL-PDMP	Glucosyltransferase inhibitor
469	12.81	cp	BRD-K57886322	fluocinonide	Glucocorticoid receptor agonist
470	12.79	cp	BRD-K25741894	skimmianine	Acetylcholinesterase inhibitor
471	12.79	cp	BRD-K96527333	dehydroisoandosterone	GABA receptor modulator
472	12.71	cp	BRD-K76698671	HNHA	HDAC inhibitor
473	12.59	cp	BRD-K48300629	zonisamide	Sodium channel blocker
474	12.44	cp	BRD-K19554809	MK-212	Serotonin receptor agonist
476	12.36	cp	BRD-A75935363	atracurium	Acetylcholine receptor antagonist
477	12.35	cp	BRD-K22385716	LY-303511	Casein kinase inhibitor
478	12.33	cp	BRD-K17743697	KB-R7943	Sodium/calcium exchange inhibitor
483	11.98	cp	BRD-K60476892	YC-1	Guanylyl cyclase activator
485	11.92	cp	BRD-K40530731	hyoscyamine	Acetylcholine receptor antagonist
490	11.81	cp	BRD-A01593789	chlormadinone	5-alpha reductase inhibitor
491	11.8	cp	BRD-K76840893	RS-17053	Adrenergic receptor antagonist
492	11.8	cp	BRD-K78373679	RO-3306	CDK inhibitor
497	11.62	cp	BRD-K02581333	protein-tyrosine-phosphatase-inhibitor-IV	Tyrosine phosphatase inhibitor
500	11.52	cp	BRD-K81916719	triclabendazole	Microtubule inhibitor
501	11.46	cp	BRD-A39522003	OMDM-2	FAAH inhibitor
503	11.41	cp	BRD-K17415526	tyrphostin-AG-835	Protein tyrosine kinase inhibitor
505	11.37	cp	BRD-K50128260	sildenafil	Phosphodiesterase inhibitor
507	11.34	cp	BRD-K31238592	devazepide	CCK receptor antagonist
509	11.28	cp	BRD-K03670461	tyrphostin-AG-82	EGFR inhibitor
512	11.27	cp	BRD-K32830106	guanfacine	Adrenergic receptor agonist
514	11.21	cp	BRD-K43796186	benzyl-quinazolin-4-yl-amine	EGFR inhibitor
515	11.18	cp	BRD-A66199457	asiaticoside	Antineoplastic
524	10.9	cp	BRD-A15530910	carpindolol	Adrenergic receptor antagonist
526	10.82	cp	BRD-K01493881	apigenin	Casein kinase inhibitor
527	10.8	cp	BRD-K82381502	acetylcholine	Acetylcholine receptor agonist
528	10.78	cp	BRD-K12357156	AG-490	EGFR inhibitor
531	10.63	cp	BRD-K50836978	purvalanol-a	CDK inhibitor
532	10.61	cp	BRD-K94830329	ataluren	CFTR channel agonist
533	10.59	cp	BRD-K51677086	erythromycin	NFkB pathway inhibitor
536	10.47	cp	BRD-K48168960	propylthiouracil	Thyroid peroxidase inhibitor
537	10.44	cp	BRD-K19227686	phenolphthalein	Indicator dye
539	10.43	cp	BRD-K66296774	fluvastatin	HMGCR inhibitor
544	10.25	cp	BRD-K49945136	GR-113808	Serotonin receptor antagonist
546	10.23	cp	BRD-A81772229	simvastatin	HMGCR inhibitor
547	10.15	cp	BRD-K02526760	QS-11	ARFGAP inhibitor
548	10.15	cp	BRD-A54596827	solifenacin	Acetylcholine receptor antagonist
549	10.1	cp	BRD-K05104363	PD-184352	MEK inhibitor
551	10.06	cp	BRD-K12513978	fenbufen	Cyclooxygenase inhibitor
552	10	cp	BRD-K95851186	CGP-13501	GABA receptor modulator
555	9.93	cp	BRD-A43930669	L-368899	Oxytocin receptor antagonist
559	9.74	cp	BRD-K14993104	bemegride	Chemoreceptor agonist
561	9.69	cp	BRD-K07303502	arachidonyl-trifluoro-methane	Cytosolic phospholipase inhibitor
562	9.61	cp	BRD-K71499074	diclofenamide	Carbonic anhydrase inhibitor
563	9.58	cp	BRD-A61392169	eliprodil	Glutamate receptor antagonist
565	9.55	cp	BRD-K14200658	syrosingopine	Vesicular monoamine transporter inhibitor
567	9.54	cp	BRD-K16554956	PTB1	AMPK activator
568	9.52	cp	BRD-K61341215	vecuronium	Acetylcholine receptor antagonist
577	9.21	cp	BRD-K76205745	losartan	Angiotensin receptor antagonist
581	9.12	cp	BRD-K49657628	tyrphostin-AG-18	EGFR inhibitor
583	9.05	cp	BRD-K25905511	buddleoflavonoloside	Acetylcholinesterase inhibitor
584	9.05	cp	BRD-M45964048	verteporfin	Photosensitizing agent
585	9.02	cp	BRD-K80396088	gliquidone	Sulfonylurea
591	8.8	cp	BRD-K00673382	famotidine	Histamine receptor antagonist
592	8.77	cp	BRD-K53570330	carbofuran	Cholinesterase inhibitor
597	8.35	cp	BRD-A41112154	oleanolic-acid	G protein-coupled receptor agonist
598	8.34	cp	BRD-K34170797	fexaramine	FXR agonist
603	8.16	cp	BRD-K42452249	EO-1428	p38 MAPK inhibitor
605	8.13	cp	BRD-K11717138	benzbromarone	Chloride channel blocker
608	8.06	cp	BRD-K62221994	T-98475	Gonadotropin releasing factor hormone receptor antagonist
610	7.93	cp	BRD-K10852020	tolcapone	Catechol O methyltransferase inhibitor
614	7.88	cp	BRD-K91733562	secoisolariciresinol	Antioxidant
615	7.83	cp	BRD-K64890080	BI-2536	PLK inhibitor
621	7.71	cp	BRD-K16508793	diazepam	Benzodiazepine receptor agonist
622	7.69	cp	BRD-K32330832	VER-155008	HSP inhibitor
625	7.64	cp	BRD-K33864865	LY-225910	CCK receptor antagonist
628	7.54	cp	BRD-K43149758	myricetin	Androgen receptor agonist
629	7.51	cp	BRD-K62792802	LY-83583	Guanylyl cyclase inhibitor
632	7.44	cp	BRD-K56745457	azauridine	Antiviral
637	7.34	cp	BRD-A81866333	CGS-21680	Adenosine receptor agonist
638	7.33	cp	BRD-K24576554	AT-9283	JAK inhibitor
639	7.33	cp	BRD-K00312224	PPT	Estrogen receptor agonist
642	7.29	cp	BRD-A89672324	CGP-55845	GABA receptor antagonist
646	7.27	cp	BRD-K52397688	amperozide	Dopamine receptor antagonist
647	7.26	cp	BRD-K05350981	oligomycin-c	ATPase inhibitor
651	7.19	cp	BRD-K36395411	SB-206553	Serotonin receptor antagonist
653	7.13	cp	BRD-K90976994	dehydrocholic-acid	Bile acid
663	6.98	cp	BRD-K47207162	zimelidine	Serotonin reuptake inhibitor
664	6.97	cp	BRD-K90574421	ipsapirone	Serotonin receptor agonist
668	6.88	cp	BRD-K14441456	tyrphostin-AG-556	EGFR inhibitor
671	6.8	cp	BRD-K28667196	fillalbin	Increases arterial blood pressure
672	6.8	cp	BRD-K93658967	aloisine	CDK inhibitor
673	6.79	cp	BRD-A40639672	ketorolac	Cyclooxygenase inhibitor
678	6.74	cp	BRD-K88868628	iodoacetic-acid	Cysteine peptidase inhibitor
679	6.73	cp	BRD-K94841585	emodic-acid	Laxative
680	6.72	cp	BRD-K97399794	quercetin	Polar auxin transport inhibitor
681	6.72	cp	BRD-A09161221	nomilin	HSP inhibitor
683	6.7	cp	BRD-K05737787	isoeugenol	Nitric oxide production inhibitor
687	6.63	cp	BRD-K47717570	NBQX	Glutamate receptor antagonist
690	6.5	cp	BRD-K70327191	benzoxiquine	Anti-infective
695	6.41	cp	BRD-K21565985	xylazine	Adrenergic receptor agonist
696	6.41	cp	BRD-K64746805	MBCQ	Phosphodiesterase inhibitor
704	6.24	cp	BRD-K89402695	L-655240	Thromboxane receptor antagonist
705	6.24	cp	BRD-K26429091	J-104129	Acetylcholine receptor antagonist
706	6.22	cp	BRD-A55946879	BW-B70C	Lipoxygenase inhibitor
708	6.14	cp	BRD-A80641450	FR-139317	Endothelin receptor antagonist
709	6.13	cp	BRD-K16664969	GTP-14564	FLT3 inhibitor
717	6.02	cp	BRD-A15034104	bergenin	Interleukin inhibitor
718	6.01	cp	BRD-A65671304	candesartan	Angiotensin receptor antagonist
722	5.94	cp	BRD-K12762134	XAV-939	Tankyrase inhibitor
724	5.85	cp	BRD-A07395371	esmolol	Adrenergic receptor antagonist
730	5.78	cp	BRD-K08996725	zolantidine	Histamine receptor antagonist
733	5.71	cp	BRD-K07762753	aminopurvalanol-a	Tyrosine kinase inhibitor
734	5.69	cp	BRD-A89175223	bisoprolol	Adrenergic receptor antagonist
737	5.65	cp	BRD-A39230911	chlorphensin	Muscle relaxant
739	5.61	cp	BRD-K43978949	PIT	Purinergic receptor antagonist
743	5.56	cp	BRD-K81209512	AG-494	EGFR inhibitor
748	5.47	cp	BRD-K74112339	acetohydroxamic-acid	Urease inhibitor
749	5.46	cp	BRD-K46937689	phenazone	Cyclooxygenase inhibitor
750	5.45	cp	BRD-A15297126	fluocinonide	Glucocorticoid receptor agonist
752	5.43	cp	BRD-K08219523	5-nonyloxytryptamine	Serotonin receptor agonist
755	5.4	cp	BRD-K30240666	clemastine	Histamine receptor antagonist
756	5.39	cp	BRD-A83892713	rifampicin	RNA polymerase inhibitor
759	5.33	cp	BRD-K97354755	SU-6656	SRC inhibitor
764	5.27	cp	BRD-K08554278	bisbenzimide	DNA binding agent
765	5.25	cp	BRD-A51410489	yohimbine	Adrenergic receptor antagonist
766	5.25	cp	BRD-A71765365	mepireserpate	Catecholamine depleting sympatholytic
768	5.21	cp	BRD-K73978287	hydrocortisone	Glucocorticoid receptor agonist
772	5.13	cp	BRD-K29653726	topiramate	Carbonic anhydrase inhibitor
775	5.07	cp	BRD-K84085265	CG-930	JNK inhibitor
776	5.06	cp	BRD-K53972329	ruxolitinib	JAK inhibitor
778	5.04	cp	BRD-K10136726	tosyllysyl-chloromethyl-ketone	Chymotrypsin inhibitor
779	5.04	cp	BRD-K52512893	SC-19220	Prostanoid receptor antagonist
784	4.99	cp	BRD-K31633810	DAU-5884	Acetylcholine receptor antagonist
788	4.96	cp	BRD-K43860855	iobenguane	Antineoplastic
789	4.92	cp	BRD-K13926615	vardenafil	Phosphodiesterase inhibitor
793	4.9	cp	BRD-K04548931	pidorubicine	Topoisomerase inhibitor
794	4.9	cp	BRD-A16478930	amcinonide	Glucocorticoid receptor agonist
797	4.83	cp	BRD-K88759641	EMD-66684	Angiotensin receptor antagonist
804	4.77	cp	BRD-K79930101	GW-583340	EGFR inhibitor
806	4.76	cp	BRD-K92446736	zatebradine	HCN channel blocker
811	4.72	cp	BRD-K35458079	edaravone	Nootropic agent
814	4.67	cp	BRD-K79131256	albendazole	Anthelmintic
817	4.6	cp	BRD-K73397362	purmorphamine	Smoothened receptor agonist
819	4.58	cp	BRD-A19195498	trimipramine	Norepinephrine reuptake inhibitor
821	4.57	cp	BRD-K50495309	SRC-kinase-inhibitor-I	SRC inhibitor
822	4.57	cp	BRD-K14221570	benzopurpurin-4b	HIV entry inhibitor
823	4.56	cp	BRD-A53131506	epitestosterone	Inactive testosterone analog
824	4.55	cp	BRD-K82577285	dipropyl-dopamine	Dopamine receptor agonist
825	4.52	cp	BRD-K66093087	FGIN-1-43	Benzodiazepine receptor agonist
827	4.48	cp	BRD-M72442222	vicriviroc	CC chemokine receptor antagonist
828	4.47	cp	BRD-K33551950	radicicol	HSP inhibitor
836	4.4	cp	BRD-A49225603	alimemazine	Histamine receptor agonist
837	4.4	cp	BRD-A18917088	estradiol	Contraceptive agent
839	4.39	cp	BRD-K89348303	ramipril	ACE inhibitor
841	4.37	cp	BRD-K05926469	lenalidomide	Antineoplastic
844	4.35	cp	BRD-K07888196	tyrphostin-AG-538	IGF-1 inhibitor
847	4.34	cp	BRD-A11813248	AM-92016	Potassium channel blocker
848	4.34	cp	BRD-A83695761	chromanol	Potassium channel blocker
852	4.29	cp	BRD-A03216249	mepivacaine	Potassium channel blocker
860	4.23	cp	BRD-K24656285	farnesol	FXR agonist
861	4.19	cp	BRD-K95785537	PP-2	SRC inhibitor
862	4.19	cp	BRD-K09991945	GSK-3-inhibitor-II	PKC inhibitor
868	4.12	cp	BRD-K89055274	alverine	Muscle relaxant
874	4.1	cp	BRD-K47192521	icosapent	Platelet aggregation inhibitor
875	4.08	cp	BRD-A87387433	cefpodoxime	Bacterial cell wall synthesis inhibitor
877	4.04	cp	BRD-K40992116	parachlorophenol	Anti-infective
881	3.99	cp	BRD-K51476772	ST-638	Tyrosine kinase inhibitor
883	3.95	cp	BRD-A86044036	flurbiprofen	Cyclooxygenase inhibitor
884	3.91	cp	BRD-K45446451	JZL-184	Monoacylglucerol lipase inhibitor
885	3.89	cp	BRD-A13084692	troglitazone	Insulin sensitizer
889	3.88	cp	BRD-K37814297	acepromazine	Dopamine receptor antagonist
895	3.84	cp	BRD-A24514565	warfarin	Vitamin K antagonist
896	3.83	cp	BRD-K37289225	clozapine	Dopamine receptor antagonist
898	3.8	cp	BRD-A02189320	met-leu-phe	-666
899	3.79	cp	BRD-A13650332	flucloxacillin	Bacterial cell wall synthesis inhibitor
902	3.74	cp	BRD-K93331255	lypressin	Vasopressin receptor agonist
903	3.74	cp	BRD-K63151507	MNITMT	Lymphocyte inhibitor
909	3.66	cp	BRD-K58772419	AZD-6482	PI3K inhibitor
916	3.59	cp	BRD-K39391626	ethylestrenol	Progesterone receptor agonist
917	3.59	cp	BRD-K43068349	AMG-9810	TRPV antagonist
918	3.59	cp	BRD-A98299281	velnacrine	cholinesterase inhibitor
920	3.56	cp	BRD-K19284129	salvinorin-a	Opioid receptor agonist
921	3.56	cp	BRD-K93480852	KN-93	Calcium-calmodulin dependent protein kinase inhibitor
924	3.53	cp	BRD-A28746609	paclitaxel	Tubulin inhibitor
927	3.52	cp	BRD-A58048407	nimodipine	Calcium channel blocker
931	3.45	cp	BRD-K88358234	xaliproden	Serotonin receptor agonist
932	3.45	cp	BRD-K71534238	GW-9508	Free fatty acid receptor agonist
934	3.45	cp	BRD-A36267905	buphenine	Adrenergic receptor agonist
935	3.43	cp	BRD-K10670311	sulfasalazine	Antirheumatic
937	3.42	cp	BRD-K70557564	zosuquidar	P-glycoprotein inhibitor
940	3.39	cp	BRD-A96456596	FPL-55712	Leukotriene receptor antagonist
941	3.39	cp	BRD-K27450477	EHNA	Adenosine deaminase inhibitor
946	3.38	cp	BRD-A35033682	eriodictyol	Cytochrome P450 inhibitor
948	3.35	cp	BRD-K50660797	epicatechin	Bacterial DNA gyrase inhibitor
953	3.31	cp	BRD-K34581968	BMS-536924	IGF-1 inhibitor
954	3.31	cp	BRD-A17411484	carprofen	Cyclooxygenase inhibitor
955	3.31	cp	BRD-A70407468	PSB-36	Adenosine receptor antagonist
957	3.26	cp	BRD-K82731415	olomoucine	CDK inhibitor
965	3.21	cp	BRD-K20197062	SA-94315	Caspase inhibitor
981	3.07	cp	BRD-A87719232	naproxen	Cyclooxygenase inhibitor
982	3.07	cp	BRD-A63667919	methylergometrine	Dopamine receptor antagonist
985	3.04	cp	BRD-K51541829	RO-25-6981	Ionotropic glutamate receptor antagonist
986	3.03	cp	BRD-K66782112	BRD-K66782112	Histamine receptor antagonist
991	3	cp	BRD-K38323065	phenacetin	Cyclooxygenase inhibitor
992	3	cp	BRD-K54233340	dorsomorphin	AMPK inhibitor
994	3	cp	BRD-K17743125	belinostat	HDAC inhibitor
998	2.96	cp	BRD-K35483542	alitretinoin	Retinoid receptor agonist
